D	4.5	M84
D	3.5	M85
D	3.5	M86
D	3.5	M88
D	4	M95
D	4	M102
E	3	M22
E	3	M26
E	3	M27
E	4	M29
E	4	M30
E	1	M32
E	4	M34
E	4	M38
E	2.5	M43
E	3.5	M44
E	4.5	M45
E	3.5	M46
E	3	M46
E	4	M1
E	5	M10
E	2	M11
E	4	M12
E	4	M2
E	4.5	M3
E	3	M4
E	3	M5
E	5	M8
E	2.5	M53
E	3	M55
E	3	M56
E	2.5	M59
E	5	M60
E	3.5	M61
E	3.5	M63
E	5	M64
E	3.5	M65
E	3.5	M67
E	1.5	M68
E	2	M71
E	2	M72
E	4	M73
E	4	M74
E	4.5	M75
E	4.5	M83
E	5	M84
E	5	M90
E	4	M91
E	3	M94
E	4	M95
E	4	M101
F	4.5	M26
F	4	M29
F	3.5	M30
F	2.5	M32
F	3.5	M35
F	4.5	M45
F	4	M46
F	4.5	M11
F	4	M13
F	4	M52
F	3.5	M2
F	5	M3
F	4	M4
F	3.5	M5
F	4.5	M6
F	5	M7
F	4.5	M53
F	4	M55
F	4	M55
F	3.5	M56
F	4	M57
F	4	M59
F	4.5	M61
F	3	M67
F	3.5	M68
F	4.5	M73
F	4.5	M78
F	4	M79
F	4.5	M83
F	4.5	M86
F	4.5	M90
F	4	M95
F	4	M102
F	4	M103
G	4	M27
G	4	M34
G	4	M39
G	4	M46
G	4	M46
G	4.5	M49
G	4.5	M50
G	4.5	M1
G	4	M10
G	3	M11
G	4	M12
G	4	M13
G	4.5	M2
G	4.5	M5
G	4	M8
G	4.5	M9
G	4.5	M56
G	4.5	M61
G	3.5	M67
G	3	M68
G	4	M71
G	4	M72
G	4.5	M73
G	4.5	M74
G	4.5	M75
G	4.5	M83
G	4	M84
G	4.5	M86
G	4.5	M95
H	4	M26
H	4	M27
H	4.5	M29
H	4.5	M30
H	3.5	M36
H	4	M39
H	4.5	M42
H	4	M44
H	3	M46
H	3	M46
H	4	M48
H	4	M49
H	3.5	M1
H	4	M10
H	2	M11
H	3.5	M12
H	4.5	M2
H	5	M3
H	4	M4
H	4	M5
H	4	M6
H	4.5	M8
H	4	M9
H	4	M55
H	3.5	M55
H	4.5	M56
H	3.5	M57
H	5	M60
H	5	M61
H	4	M67
H	3.5	M68
H	3	M71
H	4	M72
H	4.5	M73
H	5	M74
H	4	M75
H	5	M77
H	4.5	M78
H	4.5	M79
H	4.5	M83
H	4.5	M84
H	3	M87
H	2.5	M94
H	5	M95
H	4	M97
H	5	M98
H	4.5	M100
H	3	M102
H	3.5	M103
I	4	M26
I	5	M30
I	2.5	M32
I	4	M37
I	4	M41
I	5	M43
I	4.5	M44
I	4	M46
I	3.5	M46
I	2.5	M51
I	4	M12
I	3.5	M2
I	4	M3
I	4	M4
I	4.5	M5
I	4	M6
I	3	M53
I	5	M54
I	4.5	M56
I	4.5	M58
I	3.5	M59
I	4	M60
I	3	M62
I	3.5	M67
I	3	M68
I	4.5	M69
I	3	M71
I	2.5	M72
I	5	M80
I	3.5	M83
I	4.5	M86
I	4.5	M90
I	5	M93
I	4.5	M94
I	4	M95
I	4.5	M98
I	4	M101
I	3.5	M102
I	3.5	M103
J	5	M21
J	4	M26
J	5	M27
J	5	M28
J	3.5	M29
J	2	M30
J	3	M32
J	2.5	M38
J	5	M39
J	4	M44
J	5	M45
J	3	M46
J	3.5	M46
J	3	M48
J	3.5	M49
J	3	M1
J	5	M10
J	4	M11
J	3.5	M12
J	4.5	M2
J	5	M3
J	3	M4
J	4.5	M5
J	3	M6
J	5	M8
J	2.5	M9
J	3	M55
J	2.5	M55
J	4.5	M56
J	3.5	M57
J	3.5	M58
J	4	M59
J	3.5	M60
J	3	M61
J	5	M63
J	3.5	M67
J	3	M68
J	2.5	M71
J	2.5	M72
J	4	M73
J	4	M74
J	4	M75
J	1.5	M76
J	2	M78
J	2	M79
J	4	M80
J	3.5	M82
J	5	M83
J	5	M84
J	2.5	M86
J	2	M89
J	2	M93
J	4	M94
J	4	M95
J	2.5	M102
J	3	M103
K	3.5	M21
K	3	M26
K	2.5	M27
K	3	M29
K	3	M32
K	4	M34
K	5	M44
K	2	M45
K	3	M46
K	2.5	M46
K	3.5	M48
K	3	M49
K	3	M1
K	4	M10
K	2.5	M11
K	2.5	M12
K	4	M2
K	3.5	M3
K	3.5	M5
K	3	M6
K	3.5	M8
K	3	M53
K	3	M56
K	4	M61
K	4.5	M63
K	3.5	M67
K	3.5	M68
K	3	M71
K	4	M73
K	4	M74
K	4	M75
K	3	M83
K	3.5	M84
K	3	M94
K	3	M95
K	3	M102
L	4.5	M21
L	4	M22
L	3.5	M24
L	3.5	M27
L	3.5	M29
L	3.5	M30
L	3	M32
L	3.5	M34
L	2.5	M35
L	3	M36
L	4	M42
L	3	M44
L	4	M46
L	4	M46
L	4.5	M1
L	4.5	M10
L	2.5	M11
L	3.5	M12
L	4	M2
L	4	M3
L	3.5	M4
L	4	M5
